epoch;loss
0;62.69462080949702
1;62.19912846625214
2;61.66709785384049
3;61.099236741752705
4;60.54037018286529
5;59.97624676222733
6;59.416094859279916
7;58.85828564471696
8;58.30033537147011
9;57.7523318400973
10;57.213237576745826
11;56.676322364420244
12;56.146080117680235
13;55.622219016053855
14;55.1012118341473
15;54.58125293569197
16;54.0640174912149
17;53.55058498266502
18;53.042495565046885
19;52.527387591936524
20;52.02315701529172
21;51.51703711890787
22;51.01705583645896
23;50.515251469176874
24;50.025319909952714
25;49.52320238155961
26;49.03327013367814
27;48.538809553846626
28;48.047327471069586
29;47.55373819749689
30;47.06057570575459
31;46.56870158352184
32;46.07833224716341
33;45.58216018367249
34;45.09092942986479
35;44.59293669571016
36;44.09794175649028
37;43.598472053574255
38;43.098622606443826
39;42.5990763387622
40;42.09646595612501
41;41.594597474073055
42;41.088762271718615
43;40.57623581953997
44;40.06904537053911
45;39.55577121448324
46;39.04449196712966
47;38.52882822435236
48;38.00861447626389
49;37.49106871815772
50;36.96714109532974
51;36.44112412489452
52;35.91387566494893
53;35.39100859760029
54;34.86301326945152
55;34.33785716708727
56;33.80754770275062
57;33.28070344596073
58;32.753729466250654
59;32.23043383739541
60;31.706847432660766
61;31.18922998842313
62;30.680241501597315
63;30.17633953055794
64;29.682193640037674
65;29.20391579912352
66;28.75319577230643
67;28.31258082438192
68;27.896589062518572
69;27.51819823769962
70;27.142982850451983
71;26.801837008091304
72;26.491726737960597
73;26.21044449100146
74;25.9507317997621
75;25.72021641837656
76;25.49949962855836
77;25.32102818131205
78;25.150084795381186
79;25.01246691814059
80;24.880863448910976
81;24.764493249734564
82;24.66585416967922
83;24.58022009673515
84;24.504246326779256
85;24.43814868037164
86;24.381688189554893
87;24.321652472381903
88;24.272532832549988
89;24.224512092482005
90;24.184302308738353
91;24.14717565927254
92;24.11372085710568
93;24.086129534800687
94;24.060010786230617
95;24.036840585859505
96;24.01799134647145
97;23.998518632343284
98;23.981675378207502
99;23.970082826595036
100;23.95610052963783
101;23.945648986475945
102;23.935457291516038
103;23.9254539520697
104;23.91851239852441
105;23.91107549145062
106;23.90518338588382
107;23.898003464054625
108;23.891254761639765
109;23.88507434465822
110;23.878384143295442
111;23.872471857747975
112;23.866297708321778
113;23.860335332626747
